,Date,Start (ET),Visitor/Neutral,VisitorScore,Home/Neutral,HomeScore,Attend.,Arena,season,players
13,2019-10-24,7:00p,Atlanta Hawks,117,Detroit Pistons,100,20338.0,Little Caesars Arena,2020,"[[['Trae Young', 'John Collins', ""De'Andre Hunter"", 'Alex Len', 'Cam Reddish'], [""DeAndre' Bembry"", 'Jabari Parker', 'Evan Turner']], [['Andre Drummond', 'Tony Snell', 'Markieff Morris', 'Bruce Brown', 'Reggie Jackson'], ['Luke Kennard', 'Langston Galloway', 'Derrick Rose']]]"
14,2019-10-24,8:00p,Milwaukee Bucks,117,Houston Rockets,111,18055.0,Toyota Center,2020,"[[['Khris Middleton', 'Wesley Matthews', 'Giannis Antetokounmpo', 'Brook Lopez', 'Eric Bledsoe'], ['George Hill', 'Ersan İlyasova', 'Pat Connaughton']], [['P.J. Tucker', 'James Harden', 'Russell Westbrook', 'Clint Capela', 'Danuel House Jr.'], ['Eric Gordon', 'Ben McLemore', 'Austin Rivers']]]"
15,2019-10-24,10:30p,Los Angeles Clippers,141,Golden State Warriors,122,18064.0,Chase Center,2020,"[[['Landry Shamet', 'Patrick Beverley', 'Patrick Patterson', 'Kawhi Leonard', 'Ivica Zubac'], ['Lou Williams', 'Montrezl Harrell', 'Maurice Harkless']], [[""D'Angelo Russell"", 'Glenn Robinson III', 'Stephen Curry', 'Draymond Green', 'Kevon Looney'], ['Eric Paschall', 'Jacob Evans', 'Jordan Poole']]]"
16,2019-10-25,7:00p,Toronto Raptors,106,Boston Celtics,112,18624.0,TD Garden,2020,"[[['Fred VanVleet', 'Kyle Lowry', 'OG Anunoby', 'Pascal Siakam', 'Marc Gasol'], ['Serge Ibaka', 'Norman Powell', 'Terence Davis']], [['Jaylen Brown', 'Gordon Hayward', 'Kemba Walker', 'Jayson Tatum', 'Daniel Theis'], ['Marcus Smart', 'Grant Williams', 'Robert Williams']]]"
17,2019-10-25,7:00p,Minnesota Timberwolves,121,Charlotte Hornets,99,14879.0,Spectrum Center,2020,"[[['Andrew Wiggins', 'Karl-Anthony Towns', 'Treveon Graham', 'Jeff Teague', 'Robert Covington'], ['Josh Okogie', 'Jake Layman', 'Shabazz Napier']], [['P.J. Washington', 'Miles Bridges', 'Dwayne Bacon', 'Bismack Biyombo', 'Terry Rozier'], [""Devonte' Graham"", 'Willy Hernangómez', 'Malik Monk']]]"
18,2019-10-25,7:30p,New York Knicks,109,Brooklyn Nets,113,17732.0,Barclays Center,2020,"[[['Julius Randle', 'RJ Barrett', 'Marcus Morris', 'Elfrid Payton', 'Mitchell Robinson'], ['Kevin Knox', 'Allonzo Trier', 'Taj Gibson']], [['Taurean Prince', 'Joe Harris', 'Kyrie Irving', 'Jarrett Allen', 'Caris LeVert'], ['Spencer Dinwiddie', 'DeAndre Jordan', 'Garrett Temple']]]"
19,2019-10-25,8:00p,Chicago Bulls,110,Memphis Grizzlies,102,17794.0,FedEx Forum,2020,"[[['Zach LaVine', 'Lauri Markkanen', 'Wendell Carter Jr.', 'Tomáš Satoranský', 'Otto Porter Jr.'], ['Coby White', 'Kris Dunn', 'Thaddeus Young']], [['Jaren Jackson Jr.', 'Jae Crowder', 'Dillon Brooks', 'Ja Morant', 'Jonas Valančiūnas'], ['Brandon Clarke', 'Kyle Anderson', 'Tyus Jones']]]"
20,2019-10-25,8:00p,Dallas Mavericks,123,New Orleans Pelicans,116,17027.0,Smoothie King Center,2020,"[[['Luka Dončić', 'Kristaps Porziņģis', 'Jalen Brunson', 'Dorian Finney-Smith', 'Courtney Lee'], ['Maxi Kleber', 'Delon Wright', 'Tim Hardaway Jr.']], [['Lonzo Ball', 'Jrue Holiday', 'Brandon Ingram', 'Derrick Favors', 'JJ Redick'], ['Josh Hart', 'Kenrich Williams', 'Frank Jackson']]]"
21,2019-10-25,8:00p,Washington Wizards,97,Oklahoma City Thunder,85,18203.0,Chesapeake Energy Arena,2020,"[[['Rui Hachimura', 'Bradley Beal', 'Ish Smith', 'Thomas Bryant', 'Isaac Bonga'], ['Dāvis Bertāns', 'Moritz Wagner', 'Chris Chiozza']], [['Shai Gilgeous-Alexander', 'Chris Paul', 'Danilo Gallinari', 'Steven Adams', 'Terrance Ferguson'], ['Dennis Schröder', 'Hamidou Diallo', 'Darius Bazley']]]"
22,2019-10-25,9:00p,Phoenix Suns,107,Denver Nuggets,108,19557.0,Pepsi Center,2020,"[[['Devin Booker', 'Kelly Oubre Jr.', 'Ricky Rubio', 'Dario Šarić', 'Aron Baynes'], ['Frank Kaminsky', 'Tyler Johnson', 'Jevon Carter']], [['Jamal Murray', 'Nikola Jokić', 'Gary Harris', 'Paul Millsap', 'Will Barton'], ['Jerami Grant', 'Malik Beasley', 'Torrey Craig']]]"
